Name;Status;Flowering;N_Phases;
Alopecurus bulbosus Gouan;indigen;3;0
Alopecurus geniculatus L.;indigen;6;0
Alopecurus pratensis L.;indigen;2;0
Alopecurus rendlei Eig;indigen;2;0
Althaea officinalis L.;indigen;3;0
Alyssum alyssoides (L.) L.;indigen;6;0
Alyssum montanum L.;indigen;3;0
Amelanchier ovalis Medik.;indigen;2;0
Ammophila arenaria (L.) Link;indigen;2;0
Anacamptis pyramidalis (L.) Rich.;indigen;2;0
Anagallis foemina Mill.;indigen;4;0
Anarrhinum bellidifolium (L.) Willd.;indigen;3;0
Andromeda polifolia L.;indigen;4;0
Androsace chamaejasme Wulfen;indigen;2;0
Androsace hausmannii Leyb.;indigen;2;0
Androsace helvetica (L.) All.;indigen;3;0
Androsace lactea L.;indigen;2;0
Androsace obtusifolia All.;indigen;2;0
Androsace septentrionalis L.;indigen;3;0
Anemone narcissiflora L.;indigen;3;0
Anemone nemorosa L.;indigen;3;0
Anemone ranunculoides L.;indigen;2;0
Anemone sylvestris L.;indigen;3;0
Anemone x seemenii Camus (Anemone nemorosa x A. ranunculoides);indigen;3;0
Angelica archangelica L.;indigen;3;0
Angelica palustris (Besser) Hoffm.;indigen;2;0
Angelica sylvestris L.;indigen;3;0
Antennaria carpatica (Wahlenb.) Bluff & Fingerh.;indigen;3;0
Antennaria dioica (L.) Gaertn.;indigen;2;0
Anthericum liliago L.;indigen;2;0
Anthericum ramosum L.;indigen;3;0
Anthoxanthum alpinum è. Lîve & D. Lîve;indigen;3;0
Anthoxanthum odoratum L. s. str.;indigen;2;0
Anthriscus nitida (Wahlenb.) Hazsl.;indigen;3;0
Anthriscus sylvestris (L.) Hoffm.;indigen;4;0
Anthyllis vulneraria L. s. l.;indigen;4;0
Apera spica-venti (L.) P. Beauv.;indigen;2;0
Apium graveolens L.;indigen;3;0
Apium inundatum (L.) Rchb. f.;indigen;2;0
Apium nodiflorum (L.) Lag.;indigen;3;0
Apium repens (Jacq.) Lag.;indigen;3;0
Aposeris foetida (L.) Less.;indigen;3;0
Aquilegia atrata W. D. J. Koch;indigen;2;0
Aquilegia einseleana F. W. Schultz;indigen;2;0
Aquilegia vulgaris L. s. str.;indigen;3;0
Arabis alpina L. s. str.;indigen;8;0
Arabis auriculata Lam.;indigen;2;0
Arabis bellidifolia Crantz s. l.;indigen;3;0
Arabis caerulea All.;indigen;2;0
Arabis ciliata Clairv.;indigen;3;0
Arabis glabra (L.) Bernh.;indigen;3;0
Arabis hirsuta (L.) Scop.;indigen;3;0
Arabis nemorensis (Wolf ex Hoffm.) W. D. J. Koch;indigen;3;0
Arabis pauciflora (Grimm) Garcke;indigen;3;0
Arabis sagittata (Bertol.) DC.;indigen;3;0
Arabis soyeri Reut. & Huet;indigen;4;0
Arabis turrita L.;indigen;3;0
Arctium minus (Hill) Bernh. s. l.;indigen;3;0
Arctium nemorosum Lej.;indigen;2;0
Arctostaphylos alpinus (L.) Spreng.;indigen;2;0
Arctostaphylos uva-ursi (L.) Spreng.;indigen;5;0
Aremonia agrimonoides (L.) DC.;indigen;2;0
Arenaria biflora L.;indigen;3;0
Arenaria ciliata L. s. l.;indigen;2;0
Arenaria leptoclados (Rchb.) Guss.;indigen;5;0
Arenaria serpyllifolia L. s. l.;indigen;5;0
Armeria arenaria (Pers.) Schult.;indigen;2;0
Armeria maritima (Mill.) Willd. s. l.;indigen;7;0
Arnica montana L.;indigen;2;0
Arnoseris minima (L.) Schweigg. & Kîrte;indigen;4;0
Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl;indigen;5;2
Artemisia campestris L.;indigen;3;0
Artemisia laciniata Willd.;indigen;3;0
Artemisia maritima L.;indigen;2;0
Artemisia rupestris L.;indigen;2;0
Artemisia scoparia Waldst. & Kit.;indigen;3;0
Artemisia umbelliformis Lam.;indigen;3;0
Artemisia vulgaris L.;indigen;5;0
Arum maculatum L. s. str.;indigen;3;0
Aruncus dioicus (Walter) Fernald;indigen;2;0
Asarum europaeum L.;indigen;3;0
Asperula cynanchica L.;indigen;4;0
Asperula neilreichii Beck;indigen;4;0
Asperula tinctoria L.;indigen;3;0
Asplenium adiantum-nigrum L.;indigen;2;0
Asplenium adulterinum Milde;indigen;2;0
Asplenium billotii F. W. Schultz;indigen;4;0
Asplenium cuneifolium Viv.;indigen;2;0
Asplenium fissum Kit. ex Willd.;indigen;3;0
Asplenium fontanum (L.) Bernh.;indigen;3;0
Asplenium ruta-muraria L.;indigen;3;0
Asplenium seelosii Leyb.;indigen;2;0
Asplenium septentrionale (L.) Hoffm.;indigen;2;0
Asplenium trichomanes L.;indigen;2;0
Asplenium viride Huds.;indigen;2;0
Asplenium x alternifolium Wulfen (Asplenium septentrionale x A. trichomanes);indigen;3;0
Aster alpinus L.;indigen;3;0
Aster amellus L.;indigen;3;0
Aster bellidiastrum (L.) Scop.;indigen;6;0
Aster linosyris (L.) Bernh.;indigen;2;0
Aster tripolium L.;indigen;3;0
Astragalus alpinus L.;indigen;3;0
Astragalus arenarius L.;indigen;2;0
Astragalus australis (L.) Lam.;indigen;2;0
Astragalus cicer L.;indigen;3;0
Astragalus danicus Retz.;indigen;2;0
Astragalus exscapus L.;indigen;1;0
Astragalus frigidus (L.) A. Gray;indigen;2;0
Astragalus glycyphyllos L.;indigen;2;0
Astragalus penduliflorus Lam.;indigen;2;0
